"pcl"; "eng"
"*logā-"; "grave"
"*log-e/o-"; "obtain"
"*log-eje/o-"; "melt"
"*loigo-"; "calf"
"*lok-"; "blame"
"*lomb(a)ro-"; "bare, bald"
"*lombro-"; "bare, bald"
"*lombaro-"; "bare, bald"
"*long-(e)je/o-"; "jump"
"*long-je/o-"; "jump"
"*long-eje/o-"; "jump"
"*lonko-"; "cave"
"*lono-"; "elk (?, CW)"
"*lord-skāko-"; "lame-footed"
"*lorgo-"; "stick"
"*lorgo- / *lurgo-"; "track"
"*lorgo-"; "track"
"*lurgo-"; "track"
"*lorgo-"; "track"
"*lurgo-"; "track"
"*losko-"; "lame"
"*losto-, *lostā-"; "tail"
"*losto-"; "tail"
"*lostā-"; "tail"
"*losto-"; "tail"
"*lostā-"; "tail"
"*lostV-"; "tail"
"*lou(k)bro-"; "light"
"*loubro-"; "light"
"*loukbro-"; "light"
"*loudetā- / *louditā-"; "tiredness"
"*loudetā-"; "tiredness"
"*louditā-"; "tiredness"
"*loudetā-"; "tiredness"
"*louditā-"; "tiredness"
"*loudjā-"; "lead"
"*loud-o-"; "hindrance"
"*loukarnā-"; "light, lamp"
"*loukno- / *louxsno-"; "light"
"*loukno-"; "light"
"*louxsno-"; "light"
"*loukno-"; "light"
"*louxsno-"; "light"
"*loukno- / *louxsno-"; "moon"
"*loukno-"; "moon"
"*louxsno-"; "moon"
"*loukno-"; "moon"
"*louxsno-"; "moon"
"*louko-"; "white"
"*lous-"; "louse"
"*lou-sk-e/o-"; "drag"
"*lou-ske/o-"; "shake"
"*lousk-o-"; "dragging"
"*louts-ā-"; "bilberries"
"*loutwi-"; "ashes"
"*lowano-"; "dirt"
"*lowatro-"; "bath"
"*lu/isφ-ant-"; "toad, frog"
"*lubi-gorto-"; "garden"
"*lubjo-"; "herb, plant"
"*lubro-"; "coward"
"*lubro-"; "weak"
"*lud-e"; "go"
"*lug-"; "deceive"
"*lugjo-, *lugo-"; "oath"
"*lugjo-"; "oath"
"*lugo-"; "oath"
"*lugjo-"; "oath"
"*lugo-"; "oath"
"*lug-rā-"; "moon"
"*lug-rā/o-kando-"; "moonlight"
"*Lugu-"; "god"
"*lukato-"; "eye"
"*luko-"; "black"
"*luko-"; "bright"
"*luko-"; "lake"
"*lukot-"; "mouse"
"*lumanā-"; "rope"
"*lummo-"; "bare, naked"
"*lungā- / *longā-"; "pot"
"*lungā-"; "pot"
"*longā-"; "pot"
"*lungā-"; "pot"
"*longā-"; "pot"
"*lustu- / *luxsu-"; "herb, plant"
"*lustu-"; "herb, plant"
"*luxsu-"; "herb, plant"
"*lustu-"; "herb, plant"
"*luxsu-"; "herb, plant"
"*lutā-"; "mud"
"*lutno-"; "(young) animal"
"*lūto-"; "anger"
"*luttā-"; "whore"
"*luwijo-"; "rudder"
"*luxtaro-"; "boat (made from bark)"
"*luxterjo-"; "wrestler"
"*luφerno-"; "fox"
"*lǐwak(k)V-"; "stone"
"*lǐwakV-"; "stone"
"*lǐwakkV-"; "stone"
"*lǔno-  (cf. lono-)"; "sheep"
"*lǔno-  "; "sheep"
"*lǔno-  cf. lono-"; "sheep"
"*m(e)nt-lā-"; "stomach, intestines"
"*mnt-lā-"; "stomach, intestines"
"*ment-lā-"; "stomach, intestines"
"*m(w)eido-"; "fame"
"*meido-"; "fame"
"*mweido-"; "fame"
"*ma/ekno-  / *mīnV-"; "mouth"
"*ma/ekno-"; "mouth"
"*mīnV-"; "mouth"
"*ma/ekno- "; "mouth"
"*mīnV-"; "mouth"
"*mad-je/o-"; "break"
"*mag-e/o-"; "increase"
"*maged-"; "press"
"*magesīno-"; "fat"
"*maginjāko-"; "big"
"*magino-"; "big"
"*maginjāko- "; "big"
"*mag-injo-"; "place"
"*magjo-"; "big"
"*maglo-"; "noble"
"*Magon-"; "great"
"*magos-"; "field"
"*magu- (not *mogu-)"; "servant"
"*magu- "; "servant"
"*magu- not *mogu-"; "servant"
"*magu-essā-"; "girl, woman"
"*magutaxtā-"; "virgin(ity)"
"*mailjā-"; "baldness"
"*mai-lo-"; "bald"
"*mailo-"; "bald"
"*maini-"; "gift"
"*māji-samo-"; "most"
"*mājos-"; "larger"
"*makajā-"; "plain"
"*mak-e/o-"; "nourish"
"*makīnā-"; "bellows"
"*makko-"; "surety"
"*makljo-"; "insult"
"*maKnV-"; "stone"
"*makro-"; "finger"
"*makʷ(kʷ)-agno-"; "baby"
"*makʷ-agno-"; "baby"
"*makʷkʷ-agno-"; "baby"
"*makʷ(kʷ)o-"; "son"
"*makʷo-"; "son"
"*makʷkʷo-"; "son"
"*makʷ-īno-"; "youth"
"*malag-"; "brow"
"*malasdr-ī-"; "chilblain"
"*malawo-"; "soft"
"*maljo-"; "evil"
"*malk(ʷ)-(āj)e/o-"; "rot"
"*malk-e/o-"; "rot"
"*malkʷ-e/o-"; "rot"
"*malk-āje/o-"; "rot"
"*malkʷ-āje/o-"; "rot"
"*mallo-"; "depraved"
"*mallo-"; "slow"
"*mallo-"; "member"
"*malwā-"; "mallow"
"*malxjon-"; "clover"
"*malxwit-"; "skylark"
"*mammā-"; "mother"
"*mammo-maxtā-"; "nurse"
"*manako-"; "information"
"*manatlo-"; "sheaf, spray of flowers"
"*manatlo-"; "hand"
"*mandā(ri)-"; "stain"
"*mandā-"; "stain"
"*mandāri-"; "stain"
"*mando-"; "ounce (*alone)"
"*mangā-"; "deception"
"*mantalo-"; "road (pounded earth)"
"*mantī-"; "size"
"*mantjon-"; "opinion"
"*manto-"; "jaw"
"*mantr-e/o-"; "trample"
"*mar-e/o-"; "remain"
"*margā-"; "marl"
"*margi-"; "woe"
"*mārjeito-"; "thigh"
"*mark-āko-"; "horseman, knight"
"*marko-, *markā-"; "horse"
"*marko-"; "horse"
"*markā-"; "horse"
"*marko-"; "horse"
"*markā-"; "horse"
"*marko-brano-"; "male raven"
"*māro-"; "large"
"*maro-"; "care"
"*marwo-"; "dead"
"*marwo-natā-"; "elegy"
"*māsdā-"; "pig"
"*masdjo-"; "pole"
"*mastjā-"; "food"
"*māsto-"; "rear"
"*mat-"; "throw"
"*mat- /mad-"; "remit"
"*matajo-"; "futile"
"*mati-"; "good"
"*mātīr"; "mother"
"*māto-"; "finger"
"*mātṛkʷā-"; "aunt"
"*mātronā-"; "matron"
"*matu-"; "bear"
"*maukni-"; "bog"
"*māwamV-, *māwatī-"; "handful"
"*māwamV-"; "handful"
"*māwatī-"; "handful"
"*māwamV-"; "handful"
"*māwatī-"; "handful"
"*maxt-(āj)-e/o-"; "slaughter"
"*maxt--e/o-"; "slaughter"
"*maxt-āj-e/o-"; "slaughter"
"*max-tr-īn-"; "foster"
"*me (, *mī)"; "pronoun (I)"
"*me ("; "pronoun (I)"
"*mī)"; "pronoun (I)"
"*me "; "pronoun (I)"
"*mī"; "pronoun (I)"
"*meblo-"; "dishonour"
"*med-alo-"; "soft"
"*med-e/o-"; "be able"
"*med-e/o-"; "say"
"*med-e/o-"; "sin"
"*med-je/o-"; "measure"
"*medjo-, *medi°"; "middle"
"*medjo-"; "middle"
"*medi°"; "middle"
"*medjo-"; "middle"
"*medi°"; "middle"
"*medjo-samīno-"; "June (*middle of summer)"
"*med-o-"; "power"
"*medu-"; "mead"
"*medwo-"; "drunk"
"*meidjo-"; "nape"
"*meini-"; "metal"
"*meino-"; "desire, enjoyment"
"*meino-klādo-"; "mine"
"*meisalko-"; "blackbird"
"*meistV-"; "basket"
"*meldu-"; "tender"
"*mel-e/o-, *mal-e/o-"; "grind"
"*mel-e/o-"; "grind"
"*mal-e/o-"; "grind"
"*mel-e/o-"; "grind"
"*mal-e/o-"; "grind"
"*melgo-"; "death"
"*melgos-"; "milk"
"*meli(t)-"; "honey"
"*meli-"; "honey"
"*melit-"; "honey"
"*melino-"; "yellow"
"*melisti-"; "sweet"
"*mell-e/o-"; "err"
"*mello-"; "hill"
"*mello-"; "lump, ball"
"*meltā-"; "lightning"
"*men(e)"; "my"
"*men"; "my"
"*mene"; "my"
"*mendo-"; "goat"
"*menekkǐ-"; "much"
"*menman-"; "sense"
"*men-m-ito-"; "joy"
"*men-n-"; "remain"
"*menn-agno-"; "young animal"
"*men-n-dh-e/o-"; "want"
"*mennisāko-"; "kid"
"*mens- / *mets-ūr-"; "measure"
"*mens-"; "measure"
"*mets-ūr-"; "measure"
"*mens-"; "measure"
"*mets-ūr-"; "measure"
"*mento- (/*manto-)"; "thinking"
"*mento- "; "thinking"
"*mento- /*manto-"; "thinking"
"*menw(o)-"; "small"
"*menw-"; "small"
"*menwo-"; "small"
"*mergā-"; "wrinkle"
"*mergi-"; "rust"
"*mergijo-"; "slow"
"*mergjā-"; "banner"
"*merkā-"; "daughter"
"*mero-"; "mulberry"
"*mert-"; "arrange, notice"
"*merV-"; "insane"
"*merVljo-"; "theft"
"*merwi-"; "soft"
"*mesgā-"; "whey"
"*mesko-"; "drunk"
"*messu-"; "acorn"
"*met-e/o-"; "mow"
"*metelā-"; "group of mowers"
"*mett-"; "lack"
"*metto-"; "failure"
"*mewe << PIE *mene"; "mine, my"
"*mewe"; "mine, my"
"*mi(x)-ske/o-"; "mix"
"*mi-ske/o-"; "mix"
"*mix-ske/o-"; "mix"
"*mik-ro-"; "beautiful"
"*mī-kurno-"; "knuckle"
"*mīl(j)o-"; "thousand"
"*mīlo-"; "thousand"
"*mīljo-"; "thousand"
"*mīlo-"; "animal"
"*mīlo-kʷū"; "greyhound"
"*mīmsro-"; "piece of meat"
"*minaweto-"; "awl"
"*mindi- (/*mendi-)"; "crown (St.: diadem, wreath)"
"*mindi- "; "crown (St.: diadem, wreath)"
"*mīno-"; "soft"
"*mīno-, *meino-"; "thin"
"*mīno-"; "thin"
"*meino-"; "thin"
"*mīno-"; "thin"
"*meino-"; "thin"
"*mīns-"; "month"
"*mist(V)-"; "prefix"
"*mist-"; "prefix"
"*mistV-"; "prefix"
"*mitastu-"; "border sign"
"*mlaisko-"; "stammering"
"*mlaknā-"; "groin"
"*mlastā-, mlasto-"; "taste"
"*mlastā-"; "taste"
"mlasto-"; "taste"
"*mlastā-"; "taste"
"mlasto-"; "taste"
"*mlāti-"; "soft"
"*mlāto-"; "flour"
"*mlido- , *meld-āko-"; "soft"
"*mlido-"; "soft"
"*meld-āko-"; "soft"
"*mlido- "; "soft"
"*meld-āko-"; "soft"
"*mlig-e/o-"; "milk"
"*mlits-īko-"; "tasty"
"*mlixtu-"; "milk"
"*moi"; "me, my"
"*moilo-"; "modest"
"*Moino-"; "river name"
"*moiti-"; "soft"
"*moksu"; "soon"
"*mol-eje/o-"; "praise"
"*molto-"; "sheep"
"*mon-eje/o-"; "go"
"*mon-eje/o-"; "promise"
"*mone-tr̥"; "rightful wife"
"*mongo-/-ā-"; "hair"
"*moni-"; "wish"
"*moni-, *manjā-"; "neck"
"*moni-"; "neck"
"*manjā-"; "neck"
"*moni-"; "neck"
"*manjā-"; "neck"
"*monikjā-"; "necklace"
"*moniklo-"; "neck"
"*mon-je/o-"; "think"
"*monjo-, menjo-"; "mountain"
"*monjo-"; "mountain"
"menjo-"; "mountain"
"*monjo-"; "mountain"
"menjo-"; "mountain"
"*mono-"; "malice"
"*mori-"; "sea"
"*mori-brano-"; "diver (cormorant)"
"*mori-gablo-"; "sea-inlet"
"*mori-kʷā-"; "sea-shore"
"*mori-mag-"; "salt-marsh"
"*mori-mīlo-"; "whale"
"*mori-morwen-"; "mermaid"
"*mori-mukko-"; "dolphin (*sea-pig)"
"*morīno-"; "sea"
"*mori-steigh-(e/o-)"; "sea"
"*mori-steigh-"; "sea"
"*mori-steigh-e/o-"; "sea"
"*mori-sukkā-"; "dolphin (*sea-pig)"
"*morketo-"; "trouble"
"*morni- (/*murni-)"; "noise"
"*morni- "; "noise"
"*morni- /*murni-"; "noise"
"*moro-"; "(night)mare"
"*morwen-"; "spinster"
"*morwǐ-"; "ant"
"*moudo-"; "cloud"
"*mrak-atā-"; "fermentation"
"*mraki-"; "malt"
"*mrato-"; "decay"
"*mrato-"; "deceit"
"*mrato-"; "treason"
"*mr-ī-"; "trout"
"*mrikko-"; "colourfully flecked"
"*mrixtil(l)o-"; "trout"
"*mrixtilo-"; "trout"
"*mrixtillo-"; "trout"
"*mrixto-"; "colourful"
"*mrixto-reto-"; "confusion"
"*mrogi-"; "border"
"*mrogi-rīxs"; "lord"
"*mrū-"; "say"
"*mudso-"; "dirt"
"*muket(o)-(orto-)"; "vapour"
"*muket-"; "vapour"
"*muketo-"; "vapour"
"*muket-orto-"; "vapour"
"*muketo-orto-"; "vapour"
"*mukk-(i)ato-"; "swineherd"
"*mukk-ato-"; "swineherd"
"*mukk-iato-"; "swineherd"
"*mukku-, *mukkā-"; "pig"
"*mukku-"; "pig"
"*mukkā-"; "pig"
"*mukku-"; "pig"
"*mukkā-"; "pig"
"*mūko-"; "smoke"
"*mūkVno-"; "bog"
"*muldo-"; "chaff"
"*muldu-"; "head"
"*mūnā-"; "urine"
"*mun-āko-"; "noble"
"*mūro-"; "mud"
"*muto-"; "penis"
"*mutro-"; "dark"
"*mutt-"; "blunt, short"
"*muxto-"; "soft"
"*na(-s)-mājūs"; "only"
"*na-mājūs"; "only"
"*na-s-mājūs"; "only"
"*nā(te)rV-"; "us two"
"*nārV-"; "us two"
"*nāterV-"; "us two"
"*nad-o-"; "carving; carved"
"*nad-ske/o-"; "bind"
"*nak-e/o- / *nakʷ-e/o-"; "reach"
"*nak-e/o-"; "reach"
"*nakʷ-e/o-"; "reach"
"*nak-e/o-"; "reach"
"*nakʷ-e/o-"; "reach"
"*na-kʷe"; "negative particle (lit. 'and not')"
"*nāmant-"; "enemy"
"*nan(n)k-e/o-"; "bring"
"*nank-e/o-"; "bring"
"*nannk-e/o-"; "bring"
"*nanī-"; "grandmother"
"*nanto-"; "valley"
"*nantǐ-"; "fight"
"*nāro-"; "noble"
"*naronnV-"; "river name"
"*nasko-"; "ring"
"*nāsrijā-"; "shame"
"*nat-(j)āje/o-"; "jump, fly"
"*nat-āje/o-"; "jump, fly"
"*nat-jāje/o-"; "jump, fly"
"*natā-"; "song"
"*natrik-"; "(water) snake"
"*nāw-"; "ship"
"*nawameto-"; "ninth"
"*nawan"; "nine"
"*nawan-dekant-V-"; "period of 19 years"
"*nāw-itā-"; "need"
"*nedimo-"; "a kind of axe"
"*neglo-"; "cloud"
"*nei-bo-"; "life-force"
"*nei-to- , *neit-s-lo-"; "passion"
"*nei-to-"; "passion"
"*neit-s-lo-"; "passion"
"*nei-to- "; "passion"
"*neit-s-lo-"; "passion"
"*neit-s"; "warrior, hero"
"*nek-e/o-"; "kill"
"*ne-kʷ-āto-"; "some(one, -thing)"
"*ne-kʷe kʷelso-"; "far away"
"*ne-kʷo-"; "someone"
"*ne-kʷ-ouno-"; "someone"
"*nem-ā-"; "gift"
"*nembi- / *nambV-"; "drop"
"*nembi-"; "drop"
"*nambV-"; "drop"
"*nembi-"; "drop"
"*nambV-"; "drop"
"*nemeto-"; "noble"
"*nemeto-"; "sacred place"
"*nemos-"; "heaven"
"*nenado-"; "nettle"
"*nero-"; "hero"
"*nert-ā-(j)e/o-"; "make strong"
"*nert-ā-e/o-"; "make strong"
"*nert-ā-je/o-"; "make strong"
"*nerto-"; "strength"
"*nerto-māro-"; "strong (*of big strength)"
"*nerto-sage/o-"; "make strong"
"*nesd-V-"; "nearer"
"*net-e/o-"; "wait"
"*netsamo-"; "nearest"
"*neu-(j)e/o-"; "make known"
"*neu-e/o-"; "make known"
"*neu-je/o-"; "make known"
"*new(V)"; "or"
"*new"; "or"
"*newV"; "or"
"*new-īto-"; "change, exchange"
"*newjo-"; "new"
"*nexso-"; "wound"
"*nextī- (, *nextā-)"; "granddaughter"
"*nextī- ("; "granddaughter"
"*nextā-)"; "granddaughter"
"*nextī- "; "granddaughter"
"*nextā-"; "granddaughter"
"*nexti- + Lat. sērus"; "last night"
"*neφot-"; "nephew"
"*nī"; "not"
"*Nidā-"; "river name"
"*nig-e/o-"; "wash"
"*nī-me tā-ro"; "I will not; I do not care"
"*ninā-(ko-)"; "roof"
"*ninā-"; "roof"
"*ninā-ko-"; "roof"
"*nino-kʷrendo-"; "ridge-pole"
"*nisdo-"; "nest"
"*nitjo-"; "own"
"*nī-tu-"; "fight"
"*nixto-"; "clean"
"*nixto-"; "winnow"
"*noibo-"; "sacred"
"*nokʷ-, *noxto-"; "night"
"*nokʷ-"; "night"
"*noxto-"; "night"
"*nokʷ-"; "night"
"*noxto-"; "night"
"*nokʷto-"; "naked"
"*nomo-"; "taking"
"*nomso-"; "custom"
"*Noudant-"; "god"
"*nouslo-"; "cry"
"*nowenjā-"; "famine"
"*nu-"; "now"
"*nǎgro-"; "humble, modest"
"*obn-āko-"; "afraid"
"*obno-"; "fear"
"*odoko-"; "dwarf elder"
"*Ogmjo-"; "god"
"*ogno-"; "lamb"
"*oibelo-"; "fire"
"*oināko-"; "unity"
"*oino-"; "one"
"*Oino-gustu-"; "personal name"
"*oinotamo-"; "unmarried"
"*oinotāt(u)-"; "unity"
"*oinotāt-"; "unity"
"*oinotātu-"; "unity"
"*oito-"; "oath"
"*oiwo-"; "one"
"*ok-"; "sharpen"
"*okaleinā-"; "whetstone"
"*okaro-"; "sharpness"
"*okero-"; "sharp"
"*okitā-"; "harrow"
"*okk-"; "near"
"*okk- / *ox-"; "groan"
"*okk-"; "groan"
"*ox-"; "groan"
"*okk-"; "groan"
"*ox-"; "groan"
"*okʷlo-"; "eye"
"*ol-"; "beyond; says"
"*olīnā-"; "elbow"
"*oljo-"; "all"
"*omjo-"; "copper"
"*omo-"; "raw"
"*on-"; "pronoun"
"*on(n)k-je/o-"; "hold"
"*onk-je/o-"; "hold"
"*onnk-je/o-"; "hold"
"*ondes-"; "stone"
"*ongo-"; "groan"
"*ongo-"; "hearth"
"*oni-"; "loan"
"*onno-"; "ash"
"*orbjo-"; "heir"
"*orbjo-"; "inheritance"
"*ordo-"; "hammer"
"*org-e/o-"; "hit, fall"
"*orgjā-"; "testicle"
"*or-iro-"; "bank"
"*orno- (or *org-no-)"; "murder"
"*orno- "; "murder"
"*orno- or *org-no-"; "murder"
"*oro-"; "bank"
"*-or-to-"; "raising"
"*osbo-"; "knot"
"*ot-jon-"; "bull"
"*oun-āno-"; "self"
"*ouxs(V)"; "over"
"*ouxs"; "over"
"*ouxsV"; "over"
"*ouxselo-"; "high"
"*ouxtero-"; "higher"
"*ouxto-"; "cold"
"*owi-"; "sheep"
"*owi-stā-ro-"; "shepherd"
"*owjo-"; "egg"
"*Owo-genjo-"; "personal name"
"*oxanV-"; "sigh"
"*oxto-"; "narrow"
"*oxtū"; "eight"
"*oxtumeto-"; "eighth"
"*oφi-sφernā-"; "knuckle"
"*r(o)us-(j)e/o-"; "shake"
"*rus-e/o-"; "shake"
"*rous-e/o-"; "shake"
"*rus-je/o-"; "shake"
"*rous-je/o-"; "shake"
"*rā-(j)e/o-"; "travel by sea"
"*rā-e/o-"; "travel by sea"
"*rā-je/o-"; "travel by sea"
"*rā-(je/o-)"; "give"
"*rā-"; "give"
"*rā-je/o-"; "give"
"*rād-(e)je/o-"; "speak"
"*rād-je/o-"; "speak"
"*rād-eje/o-"; "speak"
"*rād-(je/o-)"; "think"
"*rād-"; "think"
"*rād-je/o-"; "think"
"*rai(φ/j)ā-"; "fight"
"*raiā-"; "fight"
"*raiφ/jā-"; "fight"
"*rakinā-"; "quail"
"*rāmo-"; "oar"
"*rantu-"; "matter"
"*rat-inj-āko-"; "ferny"
"*ratjo-"; "necessary"
"*rātjo- , *rāto-"; "run"
"*rātjo-"; "run"
"*rāto-"; "run"
"*rātjo- "; "run"
"*rāto-"; "run"
"*rato-"; "favour"
"*rauno-"; "horsehair"
"*reb-"; "play"
"*reg-e/o-"; "extend"
"*reg-e/o-"; "stretch out (e.g. the hand)"
"*regino-"; "stiff, stretched"
"*regli-"; "clear"
"*rego-"; "band"
"*regʷ-je/o-"; "freeze"
"*regʷu-"; "frost"
"*reibāko-"; "spotted"
"*reid(ārjo)-"; "driver (of vehicle)"
"*reid-"; "driver (of vehicle)"
"*reidārjo-"; "driver (of vehicle)"
"*reidā-"; "vehicle"
"*reid-e/o-"; "travel"
"*reidi-"; "free"
"*reido-"; "travel"
"*reig-sman , *roig-sman"; "chain, band"
"*reig-sman"; "chain, band"
"*roig-sman"; "chain, band"
"*reig-sman "; "chain, band"
"*roig-sman"; "chain, band"
"*reik-e/o-"; "tear"
"*reilo-"; "bright"
"*reino-"; "stream"
"*reipp-e/o-"; "tear"
"*rejatro-"; "waterfall"
"*rekman-"; "cry"
"*rem-"; "thick"
"*remb-"; "twist"
"*rem-je/o-"; "put"
"*rēmo-"; "oar"
"*rendi-"; "top, tip"
"*renno-"; "leg"
"*ret-e/o-"; "run"
"*-reto-"; "run"
"*ret-u-"; "run"
"*reu-sman-"; "onrush"
"*rextu-"; "right"
"*rextV-"; "sudden attack, anger"
"*ribrā-"; "anus"
"*rīg-"; "king"
"*rīganī-"; "queen"
"*rīgant(o)-"; "lord"
"*rīgant-"; "lord"
"*rīganto-"; "lord"
"*rig-e/o-"; "bind"
"*rigjāko-"; "noble"
"*rīgjo-"; "kingdom"
"*rīgjo-"; "majesty"
"*rik-eto-"; "sky"
"*rīmā-"; "number"
"*rīme/o-"; "count"
"*rindjā-"; "pot (made of bark)"
"*ri-n-g-e/o- , *-reig-no-"; "torture"
"*ri-n-g-e/o-"; "torture"
"*-reig-no-"; "torture"
"*ri-n-g-e/o- "; "torture"
"*-reig-no-"; "torture"
"*rinno-"; "rigid"
"*rīt-i-je/o-"; "copulate"
"*rito-"; "wheel"
"*rīto(s)-"; "seed"
"*rīto-"; "seed"
"*rītos-"; "seed"
"*rīwā-"; "slope"
"*rixtu-"; "form"
"*ri-i̯o-ti̯o-"; "ram"
"*ro/ukk-ā-"; "grunt"
"*rog-"; "choose"
"*roi-no-"; "border"
"*roino-"; "hill"
"*roto-"; "wheel"
"*rou(a)tro-"; "impetus"
"*routro-"; "impetus"
"*rouatro-"; "impetus"
"*roud-el-no-"; "reddish"
"*roudo-"; "red"
"*roud-o-"; "rubbish"
"*roumā-"; "spade"
"*rou-men-āko-"; "long hair"
"*roummi-"; "alder"
"*roumnjā-"; "hair"
"*Rouno-"; "personal name"
"*rowes-(jā-)"; "field"
"*rowes-"; "field"
"*rowes-jā-"; "field"
"*rūnā-"; "secret"
"*ruppo-"; "animal"
"*rūsko-"; "bark"
"*rut-o-"; "rust"
"*ruxto-"; "pig"
"*ruxto-"; "roar"
"*ruxtu-"; "tunic"
"*s(k)nidā-"; "nit"
"*snidā-"; "nit"
"*sknidā-"; "nit"
"*s(t)reibā-"; "stripe"
"*sreibā-"; "stripe"
"*streibā-"; "stripe"
"*s(w)ālo-"; "sea"
"*sālo-"; "sea"
"*swālo-"; "sea"
"*s(φ)aki-"; "sweat (< *drop)"
"*saki-"; "sweat (< *drop)"
"*sφaki-"; "sweat (< *drop)"
"*s(φ)eimi-"; "thin"
"*seimi-"; "thin"
"*sφeimi-"; "thin"
"*s(φ)lad-e/o-"; "strike"
"*slad-e/o-"; "strike"
"*sφlad-e/o-"; "strike"
"*s(φ)ligā-"; "spear"
"*sligā-"; "spear"
"*sφligā-"; "spear"
"*s(φ)erkā-, *s(φ)erko-"; "love"
"*s(φ)erkā-"; "love"
"*s(φ)erko-"; "love"
"*serkā-"; "love"
"*sφerkā-"; "love"
"*serko-"; "love"
"*sφerko-"; "love"
"*s(φ)urbo-"; "dirty"
"*surbo-"; "dirty"
"*sφurbo-"; "dirty"
"*sā-"; "(out) of"
"*sa(φ)iro-"; "artist"
"*sairo-"; "artist"
"*saφiro-"; "artist"
"*Sabrinā-"; "river name"
"*sād-eje/o-"; "dive"
"*sadī-"; "hilt"
"*sādo-"; "easy, quiet"
"*sag-elo-"; "cordial, generous"
"*sag-je/o- [2]"; "say"
"*sag-je/o-[1]"; "seek"
"*sago-"; "coarse woollen blanket or mantle"
"*sagro-"; "strong"
"*said-"; "achieve"
"*saidlā-"; "plough-handle"
"*saitlo-"; "age"
"*saitu-"; "trouble"
"*sakenV"; "but"
"*sakro-"; "ugly"
"*sal-"; "dung"
"*salā-"; "moor"
"*sal-āko-"; "dirty"
"*salano-"; "salt"
"*saldi-"; "bacon"
"*sal-ī-"; "brine"
"*salik-(o-)"; "willow"
"*salik-"; "willow"
"*salik-o-"; "willow"
"*sal-jā"; "generosity"
"*Saljā-"; "river name"
"*sal-je/o-"; "jump"
"*salos-"; "dirty"
"*salto-"; "salty"
"*saltr-āje/o-"; "trample"
"*sālV-"; "(the) one (who(m))"
"*salwo-"; "dirt"
"*samali-"; "similar"
"*samal-itso-"; "similar"
"*samalo-sindV"; "thus"
"*samalV-"; "as"
"*samanǐ-"; "gathering"
"*samaskī-"; "heifer"
"*sam-bū-"; "come from"
"*samo-"; "summer"
"*sāmo-"; "rest"
"*samo-buti-"; "summer farm"
"*samtero-"; "half"
"*sang-e/o-"; "press"
"*sani"; "especially"
"*sani-stā-"; "secret"
"*Sarno-"; "river name"
"*sasjo-"; "grain"
"*satā-"; "seed"
"*sāti-"; "saturation"
"*satjā-/*-ī-"; "swarm"
"*sātlā-, *sātlo-"; "heel"
"*sātlā-"; "heel"
"*sātlo-"; "heel"
"*sātlā-"; "heel"
"*sātlo-"; "heel"
"*sāwel-, sūl-(i-)"; "sun"
"*sāwel-"; "sun"
"sūl-(i-)"; "sun"
"*sāwel-"; "sun"
"sūl-"; "sun"
"sūl-i-"; "sun"
"*se(x)skā-"; "rush"
"*seskā-"; "rush"
"*sexskā-"; "rush"
"*se-, *so-"; "dem pronoun"
"*se-"; "dem pronoun"
"*so-"; "dem pronoun"
"*se-"; "dem pronoun"
"*so-"; "dem pronoun"
"*se-blidnī"; "this year"
"*sed-ā-je/o-"; "stop"
"*sed-e/o-"; "sit"
"*se-diwos"; "today"
"*sedlo-"; "seat"
"*sedo-"; "seat"
"*seg-"; "sow"
"*segno-"; "cord"
"*sego(s)-"; "victory"
"*sego-"; "victory"
"*segos-"; "victory"
"*seg-os-"; "seed"
"*sei(φ/j)ato-"; "duck"
"*seiato-"; "duck"
"*seiφ/jato-"; "duck"
"*seigi-"; "milk"
"*seikʷ-"; "reach"
"*sekjā-"; "skin"
"*sek-lā-"; "leg"
"*Sekʷanā-"; "river name"
"*sekʷ-e/o-"; "speak"
"*sekʷ-e/o- 1"; "follow"
"*sekʷ-e/o- 2"; "say"
"*sekʷos"; "besides"
"*sel-e/o-"; "crawl"
"*sel-e/o-"; "take"
"*selekjo-"; "snail"
"*selg-ā-(je/o-)"; "hunt"
"*selg-ā-"; "hunt"
"*selg-ā-je/o-"; "hunt"
"*selgo-wiro-"; "hunter"
"*selwā-"; "possessions"
"*sem-ā-"; "nail"
"*sem-brunk-ijat-"; "leader"
"*sem-e/o-"; "pour out"
"*semīno-"; "rush, reed"
"*semiti-"; "also"
"*Semonā-"; "ethnic name"
"*Senāko-"; "personal name"
"*send-e/o-"; "pour (out)"
"*sen-is-ō-"; "older"
"*seno-"; "old"
"*seno-kastu-"; "history"
"*seno-māter-"; "grandmother"
"*seno-tato-"; "grandfather"
"*sentijo-"; "fellow, neighbour"
"*sento-litano-"; "plantain (*way-broad)"
"*sentu-"; "way"
"*ser(φ)-ro-"; "billhook"
"*ser-ro-"; "billhook"
"*serφ-ro-"; "billhook"
"*ser-e/o-"; "wander through"
"*sergo-"; "illness"
"*ser-n-a-"; "order"
"*serto-"; "lewd"
"*ser-wo-"; "theft"
"*se-sk-ā-"; "sedges"
"*sextam"; "seven"
"*sextameto-"; "seventh"
"*sextamokonta"; "seventy"
"*sī"; "she"
"*sido-"; "stag"
"*sido-bremo-"; "autumn (*bellowing of stags)"
"*sī-is"; "longer"
"*Sikʷ-ari-"; "river name"
