"gla","eng","see-also","gla-keywords","eng-keywords","gla-metaphone","eng-metaphone"
"streud","a row, line (Suth.); from English <i>street</i>.","","streud","english, from, line, row, street, suth","STRT","ANKLX, ANLX, FRM, LN, R, RF, S0, ST, STRT"
"streup, strèapaid","strife, quarrel; from Latin <i>strepitus</i>.","","streapaid, streup, strèapaid","from, latin, quarrel, strepitus, strife","STRP, STRPT","FRM, KRL, LTN, STRF, STRPTS"
"strì","strife, contention; from Norse <i>stríð</i>, Anglo-Saxon <i>stríð</i>, German <i>streit</i>.","","stri, strì","anglo-saxon, content, from, german, nors, streit, strife, stríð","STR","ANKLSKSN, FRM, JRMN, KNTNT, KRMN, NRS, STR0, STRF, STRT"
"strianach","a badger:","","strianach","badger","STRNK","PJR"
"strìoch","a streak, line, Irish <i>stríoc</i>; from English <i>streak</i>.","","strioch, strìoch","english, from, irish, line, streak, stríoc","STRK, STRX","ANKLX, ANLX, ARX, FRM, LN, STRK"
"strìochd","yield, Irish <i>stríocaim</i>, <i>strìocail</i>, (inf.), fall, be humbled, submit:","","striochd, strìochd","be, fall, humbl, inf, irish, strìocail, stríocaim, submit, yield","STRKT, STRXT","ALT, ANF, ARX, FL, HMPL, P, SPMT, STRKL, STRKM"
"strìoghach","prodigal (Rob.):","","strioghach, strìoghach","prodig, rob","STRKK","PRTK, RP"
"strìopach","a prostitute, Irish <i>stríopach</i>; from Old French <i>strupe</i>, concubinage, from Latin <i>stuprum</i>, dishonour, violation.","","striopach, strìopach","concubinag, dishonour, french, from, irish, latin, old, prostitut, strupe, stríopach, stuprum, violat","STRPK","ALT, ARX, FLT, FRM, FRNK, FRNX, KNKPNK, LTN, PRSTTT, STPRM, STRP, STRPK, TXNR"
"stròdh","prodigality, Irish <i>stró</i>, <i>strógh</i>; seemingly (because of preserved <i>st</i> in all cases) borrowed from, rather than allied to, Middle English <i>strawen</i>, strew, Anglo-Saxon <i>stréowian</i>, Gothic <i>straujan</i>, Indo-European <i>strou</i>, <i>stru</i>. Hence Gaelic <b>struidheas</b>, prodigality, squandering.","","strodh, stròdh","all, alli, anglo-saxon, becaus, borrow, case, english, from, gaelic, gothic, henc, in, indo-european, irish, middl, of, preserv, prodig, rather, seem, squander, st, straujan, strawen, strew, strou, stru, struidhea, stréowian, stró, strógh, than, to","STRT","0N, AF, AL, AN, ANKLSKSN, ANKLX, ANLX, ANTRPN, ARX, FRM, HNK, K0K, KLK, KS, KTK, MTL, PKS, PR, PRF, PRSRF, PRTK, R0R, RTR, SKNTR, SM, ST, STR, STRF, STRHN, STRJN, STRK, STRN, STRT, T, TN"
"stròic","(<b>stroic</b>, Arms.), tear asunder, a long rag, strip torn off, Irish <i>stroicim</i>, <i>stróicim</i>, <i>sroic</i>, a piece: <i>*srakki-</i>, from srac, confused with <i>stródh</i>?","","stroic, stròic","arm, asund, confus, from, irish, long, off, piec, rag, srac, srakki-, sroic, strip, stroic, stroicim, stródh, stróicim, tear, torn, with","STRK","A0, AF, ARM, ARX, ASNT, FRM, FT, KNFS, LNK, PK, RK, SRK, STRK, STRP, STRSM, STRT, TR, TRN"
"strolamas","mess (Glenmoriston):","","strolama","glenmoriston, mess","STRLM","KLNMRSTN, MS"
"stropach","wrinkled (H.S.D.):","","stropach","hsd, wrinkl","STRPK","RNKL, ST"
"struidheas","prodigality; See stròdh.","","struidhea","prodig, see, stròdh","STRT","PRTK, S, STRT"
"struill","a baton, cudgel, Irish sroghall, whip, rod, Old Irish <i>sraigell</i>; See sroghall.","","struill","baton, cudgel, irish, old, rod, see, sraigel, sroghal, whip","STRL","ALT, AP, ARX, KJL, PTN, RT, S, SRJL, SRKL"
"strumpaid","a strumpet; from the English","","strumpaid","english, from, strumpet","STRMPT","ANKLX, ANLX, FRM, STRMPT"
"struth","ostrich, Irish <i>struth</i>; from Latin <i>struthio</i>, whence, through Old French <i>ostruche</i> (= <i>avis struthio</i>), English <i>ostrich</i>.","","struth","avi, english, french, from, irish, latin, old, ostrich, ostruch, struth, struthio, through, whenc","STR0, STRT","0R, AF, ALT, ANK, ANKLX, ANLX, ARX, ASTRK, ASTRX, FRM, FRNK, FRNX, LTN, STR0, STRT, TR"
"strùthan","cake made on St. Michael's eve and eaten on his day (Carm.):","","struthan, strùthan","cake, carm, day, eaten, eve, his, made, michael, on, st","STR0N, STRTN","AF, AN, ATN, HS, KK, KRM, MKL, MT, MXL, ST, T"
"stuadh","a wave, gable, pinnacle, scroll, Irish <i>stuadh</i>, gable, pinnacle, scroll, <i>stuaidh-nimhe</i>, rainbow, Middle Irish <i>stuag-nime</i> (do.), <i>stuaid-léim</i>, leap of the waves, Early Irish <i>stúag</i>, arch: <i>*s-tuag</i>, from Old Irish <i>tuag</i>, bow, belonging to the same root as tuagh, axe.","","stuadh","arch, as, axe, belong, bow, do, earli, from, gabl, irish, leap, middl, of, old, pinnacl, rainbow, root, s-tuag, same, scroll, stuadh, stuag-nim, stuaid-léim, stuaidh-nimh, stúag, to, tuag, tuagh, wave","STT","AF, AKS, ALT, ARK, ARL, ARX, AS, FF, FRM, KPL, LP, MTL, P, PF, PLNK, PNKL, RNP, RNPF, RT, SKL, SM, SSTK, STK, STKKNM, STT, STTNM, STTTLM, T, TK"
"stuaic","( M`A., Arms.), <b>stuaichd</b> ( H.S.D.), a little hill, round promontory, Irish <i>stuaic</i>: <i>*s-tuag-c</i>, from stuadh above. M`A. has the meaning ""wry-neck"" and sullen countenance, extreme boorishness"", which is usually represented by stùic. Stokes gives the Celtic as <i>*stoukki-</i>, Breton <i>stuchyaff</i>, to feather, Lithuanian <i>stúgti</i>, set on high, English <i>steep</i>.","","stuaic","abov, arm, as, boorish, breton, by, celtic, counten, english, extrem, feather, from, give, has, high, hill, hsd, irish, lithuanian, littl, m`a, mean, on, promontori, repres, round, s-tuag-c, set, steep, stoke, stoukki-, stuadh, stuaic, stuaichd, stuchyaff, stùic, stúgti, sullen, to, usual, which, wry-neck","STK","AK, AKSTRM, AN, ANKLX, ANLX, APF, ARM, ARX, AS, ASL, AX, F0R, FRM, FTR, HH, HL, HS, JF, KF, KNTN, L0NN, LTL, LTNN, MM, MN, P, PRMNTR, PRTN, PRX, RNK, RNT, RPRS, SLN, SLTK, SSTKKK, ST, STK, STKF, STKT, STP, STT, STXF, STXT, T"
"stuaim","modesty, Irish <i>stuaim</i>, device, mien, modesty: <i>*s-tuamm-</i>, <i>*tous-men</i>, root <i>tus</i>, <i>teus</i> of tosd, silence.","","stuaim","devic, irish, mien, modesti, of, root, s-tuamm-, silenc, stuaim, teus, tosd, tous-men, tus","STM","AF, ARX, MN, MTST, RT, SLNK, SSTMM, STM, TFK, TS, TSSMN, TST"
"stùc, stùchd","a little hill jutting out from a greater, a horn, Irish <i>stucán</i>,a small conical hill, <i>stucach</i>, horned; from Teutonic - Norse <i>stúka</i>, wing of a building; Scottish, English <i>stook</i>, Middle English <i>stouke</i>, a shock of corn (12 sheaves), <i>stooks</i>, small horns, Low German <i>stu@-ke</i> (properly a projection), a bundle, bunch. But cf. stuaic. <!-- page 350 -->","","stuc, stuchd, stùc, stùchd","12, 350, build, bunch, bundl, cf, conic, corn, english, from, german, greater, hill, horn, irish, jut, littl, low, middl, nors, of, out, page, project, proper, scottish, sheav, shock, small, stook, stouk, stu-k, stuaic, stucach, stucán, stúka, teuton, wing","STK, STKT, STXT","AF, ANK, ANKLX, ANLX, ARX, AT, FNK, FRM, HL, HRN, JRMN, JT, KF, KNK, KRMN, KRN, KRTR, L, LF, LTL, MTL, NRS, PJ, PK, PLT, PNK, PNTL, PNX, PRJKT, PRPR, SKTX, SML, STK, STKK, STKN, TTN, XF, XK, XML"
"stùic, stùichd","a projecting crag, an angry or threatening aspect; from <b>stùc</b> above.","","stuic, stuichd, stùic, stùichd","abov, angri, aspect, crag, from, or, project, stùc, threaten","STK, STKT, STXT","0RTN, ANKR, APF, AR, ASPKT, FRM, KRK, PRJKT, STK, TRTN"
"stuidearra","studious, steady, glum, Irish <i>stuideurach</i>, <i>stuideur</i>, a study.","","stuidearra","glum, irish, steadi, studi, studious, stuideur, stuideurach","STTR","ARX, KLM, STT, STTR, STTRK, STTS"
"stuig","incite, spur on dogs; from English <i>stick</i>.","","stuig","dog, english, from, incit, on, spur, stick","STK","AN, ANKLX, ANLX, ANST, FRM, SPR, STK, TK"
"stuird","huffiness, pride, Irish <i>stuirteamhlachd</i> (Con.); from Middle English <i>sturte</i>, impetuosity, <i>sturten</i>, impetuous, quarrelsome, Scottish <i>sturt</i>, vexation, anger, a side form of <i>start</i>.","","stuird","anger, con, english, form, from, huffi, impetu, impetuos, irish, middl, of, pride, quarrelsom, scottish, side, start, stuirteamhlachd, sturt, sturten, vexat","STRT","AF, AMPT, AMPTS, ANJR, ANKLX, ANKR, ANLX, ARX, FKST, FRM, HF, KN, KRLSM, MTL, PRT, SKTX, ST, STRT, STRTMLKT, STRTN"
"stùirt","vertigo, a disease in sheep caused by water in the head, drunkenness; from Scottish <i>sturdy</i>, from Old F. <i>estourdi</i>, dizzy-headed, now <i>êtourdi</i>, giddy-headed; from Latin <i>extorpidire</i>. From French comes English <i>sturdy</i>.","","stuirt, stùirt","by, caus, come, diseas, dizzy-head, drunken, english, estourdi, extorpidir, french, from, giddy-head, head, in, latin, now, old, scottish, sheep, sturdi, vertigo, water, êtourdi","STRT","AKSTRPTR, ALT, AN, ANKLX, ANLX, ASTRT, ATR, ATRT, FRM, FRNK, FRNX, FRTK, FTR, HT, JTT, KM, KS, KTT, LTN, N, NF, P, SKTX, STRT, TRNKN, TSS, TST, XP"
"stùr","dust; from Scottish <i>stour</i>, Middle English <i>stour</i>, tumult.","","stur, stùr","dust, english, from, middl, scottish, stour, tumult","STR","ANKLX, ANLX, FRM, MTL, SKTX, STR, TMLT, TST"
"stùrr","the rugged point of a rock or hill, <b>sturrach</b>, rugged: <i>*s-tùrr</i>, from <i>turr</i> = tòrr, q.v.? Cf. Norse <i>staurr</i>.","","sturr, stùrr","cf, from, hill, nors, of, or, point, qv, rock, rug, s-tùrr, staurr, sturrach, turr, tòrr","STR","AF, AR, FRM, HL, KF, NRS, PNT, RK, SSTR, STR, STRK, TR"
"stuth","stuff, metal; founded on the English <i>stuff</i>.","","stuth","english, found, metal, on, stuff","ST0, STT","AN, ANKLX, ANLX, FNT, MTL, STF"
"stuthaig","dress with starch, starch (vb. and n.); from Scottish <i>stiffing</i>, starch, English <i>stiff</i>. Perthshire has <b>stifinn</b>.","","stuthaig","dress, english, from, has, perthshir, scottish, starch, stif, stiff, stifinn, vb, with","ST0K, STTK","A0, ANKLX, ANLX, FP, FRM, FT, HS, PR0XR, PRTXR, SKTX, STF, STFN, STRK, STRX, TRS"
"suabag","a sweeping blow (Suth. R.D.):","","suabag","blow, rd, suth, sweep","SPK","PL, PLF, RT, S0, SP, ST, XP"
"suacan","a pot (M`F.), earthen furnace (Arms.), a basket hung in the chimney containing wood to dry (Dial.), anything wrought together awkwardly, as clay (M`A.), Irish <i>suachgan</i> (Lh.), an earthen pot; from suath?","","suacan","anyth, arm, as, awkward, basket, chimney, clay, contain, dial, dri, earthen, from, furnac, hung, in, irish, lh, m`a, m`f, pot, suachgan, suath, to, togeth, wood, wrought","SKN","AKRT, AN, AN0, ANT, AR0N, ARM, ARTN, ARX, AS, AT, FRM, FRNK, FT, HNK, KL, KNTN, L, MM, MMF, PSKT, PT, RFT, S0, SKKN, ST, SXKN, T, TK0, TKT, TL, TR, XMN"
"suaicean","a bundle of straw or hay twisted together, a deformed person; See sùgan.","","suaicean","bundl, deform, hay, of, or, person, see, straw, sùgan, togeth, twist","SSN","AF, AR, H, PNTL, PRSN, S, SKN, STR, STRF, TFRM, TK0, TKT, TST"
"suaicheantas","ensign, escutcheon, Irish <i>suaitheantas</i>, a streamer, standard, escutcheon, <i>su-aichintus</i>, ensigns, colours (K.Meyer), Old Irish <i>suaichnid</i>, clear, demonstratio, for <i>su-aithne</i>, ""easily known"", from aithne, knowledge.","","suaicheanta","aithn, clear, colour, demonstratio, easili, ensign, escutcheon, for, from, irish, kmeyer, knowledg, known, old, standard, streamer, su-aichintus, su-aithn, suaichnid, suaitheanta","SKNT, SXNT","A0N, ALT, ANSKN, ANSN, ARX, ASKXN, ASL, ATN, FR, FRM, KLR, KMR, NLTK, NN, S0N, S0NT, SKNT, SKNTS, STN, STNT, STNTRT, STRMR, SXNT, SXNTS, TMNSTRT"
"suail","small, inconsiderable (M`F.), Irish <i>suaill</i>, Early Irish <i>suail</i>, a trifle:","","suail","earli, inconsider, irish, m`f, small, suail, suaill, trifl","SL","ANKNSTR, ARL, ARX, MMF, SL, SML, TRFL, XML"
"suaimhneach","genial, secure, Irish <i>suaimhneach</i>, peaceful, gentle, peaceable: <i>*su-menmnach</i>? See meamna.","","suaimhneach","genial, gentl, irish, meamna, peac, peaceabl, secur, see, su-menmnach, suaimhneach","SMNK, SMNX","ARX, JNL, JNTL, KNL, KNTL, MMN, PK, PSPL, S, SKR, SMNK, SMNMNK, SMNX"
"suain","sleep, Irish <i>suan</i>, Early Irish, Old Irish <i>súan</i>, Welsh <i>hun</i>, Breton <i>hun</i>: <i>*supno-s</i>, developing into <i>*sofno-</i>, <i>*sovno</i>, <i>*souno-</i>; Indo-European root <i>svop</i>, <i>svep</i>, sleep; Latin <i>sopor</i>, sleep; Sanskrit <i>svápnas</i>.","","suain","breton, develop, earli, hun, indo-european, into, irish, latin, old, root, sanskrit, sleep, sofno-, sopor, souno-, sovno, suan, supno-, svep, svop, svápnas, súan, welsh","SN","ALT, ALX, ANT, ANTRPN, ARL, ARX, FLX, HN, LTN, PRTN, RT, SFN, SFP, SFPNS, SLP, SN, SNSKRT, SPN, SPR, TFLP, XLP"
"suaineadh","twisting, rope-twisting anything, a line for twisting round anything, Early Irish, Old Irish <i>súanem</i>, g. <i>suaneman</i>, funis: <i>*sognemon-</i>, root <i>sug</i>, <i>soug</i>, Breton <i>sug</i>, trace, Welsh <i>syg</i>, chain, trace; Romance <i>soga</i>, rope, Italian <i>soga</i>, rope, leather band, Sp. <i>soga</i>, a linear measure, Port. <i>soga</i>, rush rope, Churw@""lwsch <i>saga</i>. Stokes finally refers <i>súanem</i> to a stem-root <i>*sogno-</i> beside <i>segno-</i> (whence Early Irish <i>sén</i>, a net for catching birds, gin, root <i>segh</i>, hold, English sail), Lithuanian <i>segù</i>, fasten, <i>saga</i>, sledge. <!-- page 351 --> This divorces <i>suaineadh</i> from Gaelic suaicean and sùgan, q.v. Cf. Welsh <i>hwynyn</i>, <i>hoenyn</i>, a hair from a horse's tail, gin.","","suaineadh","351, anyth, band, besid, bird, breton, catch, cf, chain, churwlwsch, divorc, earli, english, fasten, final, for, from, funi, gaelic, gin, hair, hoenyn, hold, hors, hwynyn, irish, italian, leather, line, linear, lithuanian, measur, net, old, page, port, qv, refer, romanc, root, rope, rope-twist, round, rush, saga, sail, segh, segno-, segù, sledg, soga, sognemon-, sogno-, soug, sp, stem-root, stoke, suaicean, suaineadh, suaneman, sug, syg, sén, sùgan, súanem, tail, this, to, trace, twist, welsh, whenc","SNT","0S, ALT, ALX, AN0, ANK, ANKLX, ANLX, ANT, ARL, ARX, ATLN, FLX, FN, FNL, FR, FRM, FSTN, HLT, HNN, HR, HRS, JN, KF, KLK, KN, KX, L0NN, L0R, LN, LNR, LTNN, LTR, MSR, NN, NT, PJ, PK, PNT, PRT, PRTN, PST, RFR, RMNK, RNT, RP, RPTST, RT, RX, S, SK, SKN, SKNMNN, SL, SLTK, SN, SNM, SNMN, SNMNN, SNT, SP, SSN, STK, STMMRT, T, TFRK, TL, TRS, TS, TST, XLTK, XN, XRLX"
"suaip","a faint resemblance; from Scottish <i>swaup</i>, <i>swap</i>, cast or lineaments of the countenance, Norse <i>svipr</i>, likeness, look, a swoop or flash.","","suaip","cast, counten, faint, flash, from, like, lineament, look, nors, of, or, resembl, scottish, svipr, swap, swaup, swoop","SP","AF, AR, FLX, FNT, FRM, KNTN, KST, LK, LNMNT, NRS, RSMPL, SFPR, SKTX, SP, XP"
"suaip","exchange, swop; from the Scottish <i>swap</i>, English <i>swop</i>.","","suaip","english, exchang, from, scottish, swap, swop","SP","AKSNK, ANKLX, ANLX, FRM, SKTX, SP, XP"
"suairc","civil, meek, so Irish, Early Irish <i>suarc(c)</i>; opposed to duairc: <i>*su-arci-</i>:","","suairc","civil, duairc, earli, irish, meek, oppos, so, su-arci-, suarcc, to","SRK","APS, ARL, ARX, MK, S, SFL, SRK, SRSS, T, TRK"
"suaiteachan","wagging (tails) (Suth.); from suath?","","suaiteachan","from, suath, suth, tail, wag","STKN, STXN","AK, FK, FRM, S0, ST, TL"
"suanach","a hide, skin, fleece, coarse garment, ""plough rein"" (Suth.); cf. Irish <i>sunach</i>, a kind of plaid:","","suanach","cf, coars, fleec, garment, hide, irish, kind, of, plaid, plough, rein, skin, sunach, suth","SNK","AF, ARX, FLK, HT, KF, KNT, KRMNT, KRS, PLF, PLT, RN, S0, SKN, SNK, ST"
"suarach","insignificant, careless, Irish <i>suarach</i>: <i>*svogro-</i>, root <i>sveg</i>, <i>sug</i>, German <i>schwach</i>, weak, <i>siech</i>, sick, English <i>sick</i>. Cf. English <i>sour</i>, German <i>sauer</i>, <i>*sûra</i>.","","suarach","careless, cf, english, german, insignific, irish, root, sauer, schwach, sick, siech, sour, suarach, sug, sveg, svogro-, sûra, weak","SRK","AK, ANKLX, ANLX, ANSKNFK, ANSNFK, ARX, FK, JRMN, KF, KRLS, KRMN, RT, SFK, SFKR, SK, SR, SRK, SX, XFK, XK"
"suas","up, upwards, Irish <i>suas</i>, Old Irish <i>súas</i>: <i>*s-uas</i>, from <i>uas</i>, as in uasal, and the prefix <i>s-</i>, allied to the final <i>s</i> of Latin <i>abs</i>, <i>ex</i>, Greek @G<i>e@'/x</i>, @G<i>prós</i>, etc., and the initial <i>s</i> of Latin <i>sub</i>, <i>super</i>; possibly for <i>*ens</i>, Greek @G<i>ei@'s</i>, from <i>en</i>, and meaning ""into"", ""to"" (Rhys' <i>Middle Pray.</i>@+<i>2</i> 156).","","sua","156, ab, alli, as, e'x, ei, en, etc, ex, final, for, from, greek, in, initi, into, irish, latin, mean, middl, of, old, possibl, pray, prefix, prós, rhys, s-, s-ua, sua, sub, super, súas, to, ua, uasal, up, upward","S","A, AAKS, AF, AKS, AL, ALT, AN, ANT, AP, APRT, ARX, AS, ASL, ATK, FNL, FR, FRM, KRK, LTN, MN, MTL, PR, PRFKS, PRS, PSPL, RS, S, SP, SPR, SS, T"
"suath","rub, mix, knead, Irish <i>suathaim</i>, knead, mix, Middle Irish <i>súathaim</i> (do.), Early Irish <i>suata</i>, polished down, root <i>sout</i>, <i>sut</i>, mix; cf. English <i>seethe</i>, Norse <i>sjóða</i>, cook, seethe, Gothic <i>suaths</i>, a burnt offering.","","suath","burnt, cf, cook, do, down, earli, english, gothic, irish, knead, middl, mix, nors, offer, polish, root, rub, seeth, sjóða, sout, suata, suath, suathaim, sut, súathaim","S0, ST","AFR, ANKLX, ANLX, ARL, ARX, K0K, KF, KK, KTK, MKS, MTL, NRS, NT, PLX, PRNT, RP, RT, S0, S0M, ST, STM, T, TN"
"sùbailte","supple; from the English","","subailt, sùbailt","english, from, suppl","SPLT","ANKLX, ANLX, FRM, SPL"
"sùbh, sùbhag","(<b>suibheag</b> or <b>sui'eag</b>, Dial.) a raspberry, <b>subh</b>, fruit generally (Arg.), Irish <i>suibh</i>, a strawberry, <i>sughog</i>, raspberry (Fol.), Old Irish <i>subi</i>, fragae, Welsh <i>syfi</i>, strawberry, Breton <i>sivi</i>; a side form to root <i>su@g</i> as in sùgh. Cf. Greek @G<i>u@`/fear</i>, a kind of mistletoe.","","subh, subhag, sùbh, sùbhag","arg, as, breton, cf, dial, fol, form, fraga, fruit, general, greek, in, irish, kind, mistleto, of, old, or, raspberri, root, side, sivi, strawberri, subh, subi, sug, sughog, sui'eag, suibh, suibheag, syfi, sùgh, to, u`fear, welsh","SP, SPK","AAFR, AF, ALT, ALX, AN, AR, ARK, ARX, AS, FL, FLX, FRK, FRM, FRT, JNRL, KF, KNRL, KNT, KRK, MSTLT, PRTN, RSPR, RT, S, SF, SK, SP, SPK, ST, STRPR, T, TL"
"subhach","merry, so Irish, Early Irish <i>subach</i>, Old Irish <i>sube</i>, joy; opposite of dubhach: <i>*so-bv-io-</i>, ""well-being"", from root bu, be (see bu, etc.).","","subhach","be, bu, dubhach, earli, etc, from, irish, joy, merri, of, old, opposit, root, see, so, so-bv-io-, subach, sube, well-b","SPK","A, AF, ALL, ALT, APST, ARL, ARX, ATK, FLL, FRM, J, MR, P, RT, S, SP, SPFF, SPK, TPK"
"subhailc","virtue, Irish <i>subhailce</i> (<i>súbhailc</i>, Con.), Old Irish <i>sualig</i>, virtus, <i>sualchi</i> (pl.): <i>*su-alich</i> (Asc., Zim.@+<i>1</i> 54), root <i>al</i> of <i>altram</i> (Dr Cameron).","","subhailc","54, al, altram, asc, cameron, con, dr, irish, of, old, pl, root, su-alich, sualchi, sualig, subhailc, súbhailc, virtu, virtus, zim","SPLK","AF, AL, ALT, ALTRM, ARX, ASK, FRT, FRTS, KMRN, KN, PL, RT, SLK, SLX, SM, SPLK, TR"
"suchd","sake, account (M`A.):","","suchd","account, m`a, sake","SKT, SXT","AKNT, MM, SK"
"sud","(Dial. <b>sid</b>), yon, Irish <i>súd</i>, Early Irish <i>sút</i>, <i>siut</i>, illud, illic, Welsh <i>hwnt</i> (<i>h-wnt</i>), other, yonder, Breton <i>hont</i>; from the root of so; <i>sud</i> = <i>s-út</i> (Rhys). Also ud.","","sud","also, breton, dial, earli, from, h-wnt, hont, hwnt, illic, illud, irish, of, other, rhys, root, s-út, sid, siut, so, sud, súd, sút, ud, welsh, yon, yonder","ST","A0R, AF, ALK, ALS, ALT, ALX, AN, ANTR, ARL, ARX, AT, ATR, FLX, FRM, HNT, NT, PRTN, RS, RT, S, SST, ST, TL"
"sùdh","a seam between the planks of a ship; from Norse <i>súð</i>, a suture (only used for the clinching of a ship's boards), from <i>sy/ja</i>, sow, English <i>sew</i>, <i>suture</i>.","","sudh, sùdh","between, board, clinch, english, for, from, nors, of, onli, plank, seam, sew, ship, sow, sutur, syja, súð, use","ST","AF, ANKLX, ANL, ANLX, AS, FR, FRM, KLNK, KLNX, NRS, PLNK, PRT, PTN, S, S0, SF, SH, SJ, SM, ST, STR, XP"
"sùg, sùgradh","mirth, Irish <i>súgadh</i>, <i>súgradh</i>, Early Irish <i>sucach</i>:","","sug, sugradh, sùg, sùgradh","earli, irish, mirth, sucach, súgadh, súgradh","SK, SKRT","ARL, ARX, MR0, MRT, SKK, SKRT, SKT"
"sùg","suck, imbibe; from Scottish <i>souk</i>, <i>sook</i>, English <i>suck</i>, Anglo-Saxon <i>súcan</i>. See sùgh. <!-- page 352 -->","","sug, sùg","352, anglo-saxon, english, from, imbib, page, scottish, see, sook, souk, suck, sùgh, súcan","SK","AMPP, ANKLSKSN, ANKLX, ANLX, FRM, PJ, PK, S, SK, SKN, SKTX"
"sugan, corra-shugain","the reflection of rays of light from any moving luminous body from the roof or wall of a house:","","corra, corra-shugain, shugain, sugan","ani, bodi, from, hous, light, lumin, move, of, or, ray, reflect, roof, wall","KR, KRXKN, SKN, XKN","AF, AL, AN, AR, FL, FRM, HS, LMN, LT, MF, PT, R, RF, RFLKT"
"sùgan","a rope of twisted straw, Irish <i>súgán</i>, <i>suagan</i>, straw or hay rope, <i>suag</i>, a rope (O'R.): <i>*souggo-</i>, root <i>soug</i> of suaineadh, q.v. Hence <b>suigean</b>, a cirle of straw ropes in which grain is kept in a barn.","","sugan, sùgan","barn, cirl, grain, hay, henc, in, irish, kept, o'r, of, or, qv, root, rope, soug, souggo-, straw, suag, suagan, suaineadh, suigean, súgán, twist, which","SKN","AAR, AF, AK, AN, AR, ARX, AX, H, HNK, KF, KPT, KRN, PRN, RP, RT, SJN, SK, SKN, SNT, SRL, STR, STRF, TST"
"sùgh","juice, sap, also (as vb.) drain, suck up, Irish <i>súgh</i>, <i>súghaim</i>, Early Irish <i>súgim</i>: <i>*sûgô</i>, suck, <i>*sûgo-</i>, juice; Latin <i>sûgô</i>, suck; Anglo-Saxon <i>sûcan</i>, English <i>suck</i>, <i>soak</i>. Welsh has <i>sug</i>, juice, <i>sugno</i>, suck. <i>súg</i>, <i>súch</i>, Welsh <i>sug</i>, from Latin <i>sucus</i> (Stokes).","","sugh, sùgh","also, anglo-saxon, as, drain, earli, english, from, has, irish, juic, latin, sap, soak, stoke, suck, sucus, sug, sugno, súch, súg, súgh, súghaim, súgim, sûcan, sûgo-, sûgô, up, vb, welsh","S","AK, ALS, ALX, ANKLSKSN, ANKLX, ANLX, AP, ARL, ARX, AS, FLX, FP, FRM, HS, JK, LTN, S, SJM, SK, SKM, SKN, SKS, SM, SN, SP, STK, SX, TRN"
"sùgh","a wave (A.M`D.), motion of the waves (H.S.D.); root <i>sup</i>, swing, Lithuanian <i>sùpti</i>, swing, Latin <i>dissipo</i>, scatter?","","sugh, sùgh","am`d, dissipo, hsd, latin, lithuanian, motion, of, root, scatter, sup, swing, sùpti, wave","S","AF, AMMT, FF, L0NN, LTN, LTNN, MXN, RT, SKTR, SNK, SP, SPT, ST, TSP, XNK"
"sùicean","a gag for a calf; founded on sùg, Scottish <i>sook</i>.","","suicean, sùicean","calf, for, found, gag, on, scottish, sook, sùg","SSN","AN, FNT, FR, KK, KLF, SK, SKTX"
"suidh","sit, suidhe, a seat, sitting, Irish <i>suidhim</i>, Early Irish <i>suidim</i>, <i>sudim</i>, Old Irish <i>suidigur</i>, <i>suide</i>, a seat: <i>*sodeiô</i>, <i>*sodio-n</i>, root <i>sed</i>, sod, Welsh <i>seddu</i>, <i>sedd</i>, Breton <i>azeza</i>, sit; Latin <i>sedeo</i>; Greek @G<i>e@`/zomai</i>, @G<i>e@`/dos</i>, a seat; English <i>sit</i>, seat; Lithuanian <i>se@?de@?ti</i>; Sanskrit <i>sádati</i>, <i>sa@-/dati</i>, sit, set.","","suidh","azeza, breton, e`do, e`zomai, earli, english, greek, irish, latin, lithuanian, old, root, sa-dati, sanskrit, seat, sed, sedd, seddu, sedeo, sedeti, set, sit, sod, sodeiô, sodio-n, sudim, suid, suidh, suidhim, suidigur, suidim, sádati, welsh","ST","AASM, AAT, ALT, ALX, ANKLX, ANLX, ARL, ARX, ASS, FLX, KRK, L0NN, LTN, LTNN, PRTN, RT, SNSKRT, ST, STKR, STM, STN, STT"
"sùil","eye, Irish, Old Irish <i>súil</i>: <i>*sûli-s</i>, allied to <i>*sâvali-s</i>, sun, Welsh <i>haul</i>, <i>heul</i>, sun, Cornish <i>heuul</i>, Breton <i>heaul</i>; Latin <i>sôl</i>, sun; Greek @G<i>c@`lios</i>, (= <i>sa@-vélios</i>), sun; Gothic <i>sauil</i>, sun; Lithuanian <i>sáule</i> (do.).","","suil, sùil","alli, breton, c`lio, cornish, do, eye, gothic, greek, haul, heaul, heul, heuul, irish, latin, lithuanian, old, sa-vélio, sauil, sun, sáule, sâvali-, sôl, súil, sûli-, to, welsh","SL","A, AL, ALT, ALX, ARX, FLX, HL, K0K, KKL, KRK, KRNX, KTK, L0NN, LTN, LTNN, PRTN, SFL, SL, SN, T"
